epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2131.13,0.96695,0.43034,0.83715,0.97987,0.91787,0.95327,0.77802,0.84295,0.41741,0.82467,0.0095941,0.0095941,0.0095941
43,2207.24,0.96722,0.43539,0.83587,0.97973,0.91691,0.9523,0.7684,0.85678,0.4176,0.82852,0.0095842,0.0095842,0.0095842
44,2230.61,0.95602,0.42761,0.83739,0.97913,0.91664,0.95296,0.77906,0.83235,0.41081,0.8247,0.0095743,0.0095743,0.0095743
45,2306.61,0.96034,0.42881,0.83914,0.98058,0.91764,0.95358,0.77452,0.85767,0.41082,0.82616,0.0095644,0.0095644,0.0095644
46,2337.47,0.95691,0.42582,0.83484,0.98115,0.91705,0.95608,0.78524,0.84749,0.40899,0.82729,0.0095545,0.0095545,0.0095545
47,2403.53,0.94148,0.42199,0.83644,0.98217,0.91626,0.9558,0.78525,0.85405,0.41669,0.82552,0.0095446,0.0095446,0.0095446
48,2466.72,0.9586,0.4242,0.83676,0.97992,0.91728,0.95327,0.78134,0.82528,0.409,0.8231,0.0095347,0.0095347,0.0095347
49,2487.57,0.96426,0.42919,0.83563,0.97963,0.9184,0.95272,0.7681,0.88159,0.43005,0.82645,0.0095248,0.0095248,0.0095248
50,2569.17,0.9466,0.42473,0.83694,0.98045,0.91702,0.95403,0.76703,0.87525,0.4095,0.83052,0.0095149,0.0095149,0.0095149
51,2606.64,0.96179,0.42893,0.83842,0.97855,0.9179,0.95243,0.76268,0.88648,0.42454,0.82778,0.009505,0.009505,0.009505
52,2643.44,0.94458,0.4195,0.83487,0.98045,0.91828,0.95293,0.78531,0.80845,0.39503,0.82181,0.0094951,0.0094951,0.0094951
53,2715.05,0.93216,0.41424,0.83638,0.97968,0.91795,0.95351,0.78114,0.83529,0.40192,0.82559,0.0094852,0.0094852,0.0094852
54,2793.23,0.92631,0.41298,0.83181,0.98194,0.91738,0.95673,0.78422,0.85115,0.40213,0.82578,0.0094753,0.0094753,0.0094753
55,2813.1,0.94276,0.41858,0.8353,0.97909,0.91764,0.95291,0.77419,0.84485,0.40583,0.8248,0.0094654,0.0094654,0.0094654
56,2892.45,0.92607,0.41299,0.83162,0.98077,0.91829,0.95657,0.7962,0.81887,0.39702,0.82291,0.0094555,0.0094555,0.0094555
57,2943.64,0.94544,0.41943,0.8338,0.98145,0.91735,0.95686,0.79925,0.79682,0.39035,0.82058,0.0094456,0.0094456,0.0094456
58,3012.79,0.919,0.41384,0.83246,0.98025,0.91835,0.95459,0.78581,0.83182,0.40278,0.82303,0.0094357,0.0094357,0.0094357
59,3048.28,0.91977,0.41208,0.83297,0.98004,0.91722,0.95355,0.7841,0.82083,0.39986,0.82025,0.0094258,0.0094258,0.0094258
60,3116.52,0.93587,0.41489,0.83354,0.98156,0.91779,0.95491,0.7853,0.82318,0.39319,0.82192,0.0094159,0.0094159,0.0094159
61,3164.85,0.9264,0.41121,0.83261,0.98263,0.91773,0.95716,0.7993,0.81359,0.39335,0.82093,0.009406,0.009406,0.009406
62,3245.74,0.92709,0.40885,0.8333,0.98061,0.91728,0.9542,0.77291,0.87028,0.4064,0.82773,0.0093961,0.0093961,0.0093961
63,3302.21,0.91686,0.40836,0.83083,0.9808,0.91794,0.95385,0.77839,0.83342,0.39603,0.82468,0.0093862,0.0093862,0.0093862
64,3329.24,0.91778,0.40549,0.83153,0.98142,0.91772,0.95478,0.78071,0.8324,0.39606,0.82375,0.0093763,0.0093763,0.0093763
65,3392.8,0.92783,0.41028,0.83164,0.98139,0.91709,0.95559,0.78262,0.84687,0.39596,0.82489,0.0093664,0.0093664,0.0093664
66,3449.71,0.92479,0.4096,0.83064,0.98007,0.9175,0.95455,0.78291,0.83682,0.39691,0.82377,0.0093565,0.0093565,0.0093565
67,3477.51,0.91764,0.40449,0.83127,0.98051,0.9183,0.95669,0.78858,0.83302,0.39331,0.82409,0.0093466,0.0093466,0.0093466
68,3512.76,0.92692,0.40869,0.83147,0.97928,0.91704,0.95275,0.77552,0.83748,0.39935,0.8248,0.0093367,0.0093367,0.0093367
69,3539.86,0.90169,0.40227,0.83024,0.97988,0.9185,0.95261,0.78098,0.81811,0.39003,0.82256,0.0093268,0.0093268,0.0093268
70,3616.87,0.91641,0.40546,0.83257,0.97989,0.9179,0.95291,0.77874,0.83181,0.3948,0.82231,0.0093169,0.0093169,0.0093169
71,3699.92,0.91553,0.40409,0.82998,0.98222,0.91589,0.95611,0.79071,0.83006,0.39017,0.82339,0.009307,0.009307,0.009307
72,3779.23,0.91965,0.40268,0.83258,0.98036,0.91761,0.95381,0.78578,0.806,0.38999,0.81952,0.0092971,0.0092971,0.0092971
73,3826.75,0.8991,0.39855,0.82811,0.98294,0.91818,0.95749,0.8006,0.79541,0.38155,0.81999,0.0092872,0.0092872,0.0092872
74,3904.44,0.90256,0.39869,0.82987,0.98252,0.91825,0.95756,0.80712,0.77533,0.37828,0.81798,0.0092773,0.0092773,0.0092773
75,3939.15,0.90298,0.39916,0.82898,0.98173,0.91724,0.95651,0.78848,0.82716,0.38855,0.82243,0.0092674,0.0092674,0.0092674
76,3962.73,0.89364,0.40394,0.82877,0.98325,0.91735,0.95654,0.79473,0.8061,0.37954,0.82133,0.0092575,0.0092575,0.0092575
77,4037.94,0.903,0.39846,0.82651,0.98225,0.91764,0.95667,0.79197,0.82471,0.38371,0.82197,0.0092476,0.0092476,0.0092476
78,4094.26,0.89986,0.39689,0.82957,0.98225,0.91753,0.95689,0.79293,0.82401,0.38357,0.8219,0.0092377,0.0092377,0.0092377
79,4140.76,0.90283,0.39824,0.82825,0.98176,0.91808,0.95641,0.79807,0.79755,0.38004,0.81891,0.0092278,0.0092278,0.0092278
80,4220.23,0.90888,0.39893,0.82962,0.98126,0.919,0.95656,0.80069,0.79521,0.37652,0.81975,0.0092179,0.0092179,0.0092179
81,4297.89,0.87735,0.39044,0.82902,0.98208,0.91776,0.95626,0.79947,0.79496,0.3808,0.81867,0.009208,0.009208,0.009208
82,4349.44,0.89335,0.39415,0.8289,0.98132,0.9183,0.95675,0.79645,0.80561,0.37937,0.82085,0.0091981,0.0091981,0.0091981
83,4413.89,0.88391,0.39015,0.82584,0.9823,0.91763,0.95736,0.80602,0.78104,0.37297,0.81797,0.0091882,0.0091882,0.0091882
84,4494.32,0.88229,0.39249,0.82614,0.98075,0.91742,0.95506,0.78421,0.8293,0.38364,0.82256,0.0091783,0.0091783,0.0091783
85,4541.71,0.88581,0.39049,0.82809,0.98126,0.91725,0.95407,0.78531,0.82106,0.38207,0.82147,0.0091684,0.0091684,0.0091684
86,4572.69,0.88178,0.38977,0.82774,0.98265,0.91784,0.95689,0.80146,0.79442,0.37549,0.8191,0.0091585,0.0091585,0.0091585
87,4619.62,0.87198,0.38619,0.82597,0.98221,0.91713,0.95557,0.79328,0.80513,0.37782,0.82117,0.0091486,0.0091486,0.0091486
88,4669.15,0.86916,0.3847,0.82685,0.98147,0.918,0.95741,0.80079,0.79091,0.37038,0.82032,0.0091387,0.0091387,0.0091387
89,4715.75,0.88305,0.39111,0.82574,0.97952,0.91758,0.95331,0.78201,0.81339,0.38313,0.82014,0.0091288,0.0091288,0.0091288
90,4774.33,0.88885,0.39161,0.82584,0.98176,0.91715,0.95692,0.80052,0.79094,0.37044,0.82026,0.0091189,0.0091189,0.0091189
91,4854.3,0.86647,0.38395,0.82498,0.98176,0.91813,0.957,0.79653,0.80863,0.3744,0.82062,0.009109,0.009109,0.009109
92,4894.34,0.89016,0.39018,0.82795,0.9803,0.91792,0.9535,0.7858,0.8055,0.37811,0.82091,0.0090991,0.0090991,0.0090991
93,4919.29,0.86322,0.38342,0.8275,0.98121,0.91799,0.95714,0.80032,0.79163,0.37249,0.81924,0.0090892,0.0090892,0.0090892
94,4947.09,0.87395,0.38594,0.82694,0.98238,0.91743,0.95711,0.80156,0.79671,0.37601,0.81896,0.0090793,0.0090793,0.0090793
